Id	Description	Qty	Unit	Designators
1	Cable, 2 x 16 AWG	97.0	in	2PC1, 2PC2, 2PC3, 2PC4, 2P_FuelPmp, 2P_WaterPmp
2	Connector, Denso_2P, 2 pins	4		COIL1, COIL2, COIL3, COIL4
3	Connector, Deutsch DT04_2P, female, 2 pins	2		Fuel_Pump, Water_Pump
4	Connector, Deutsch HDP26-18-14SE, female, 14 pins	1		BULKHEAD_B
