Id	Description	Qty	Unit	Designators
1	Cable, 2 x 22 AWG	0	m	W2P
2	Connector, AMPHENOL HDP 47P, female, 47 pins	1		AHDP06_47P
3	Connector, DT04_2P, female, 2 pins	1		DT04_2P
