Id	Description	Qty	Unit	Designators
1	Cable, 2 x 16 AWG	0	m	2PC1, 2PC2, 2PC3, 2PC4
2	Connector, Denso_2P, 2 pins	4		DNS_1, DNS_2, DNS_3, DNS_4
3	Connector, Deutsch HDP26-18-14SE, female, 8 pins	1		BULKHEAD_16G
